,Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage,Funding_Year,Tech_Status
317,Infra.Market,2016.0,Thane,Industrials,Infra.Market is an online procurement marketplace for every category of materials and products needed for building projects.,"Aaditya Sharda, Souvik Sengupta","InnoVen Capital, Nexus Venture Partners",100000000.0,Series C,2021,Non-tech
318,Comofi Medtech,2017.0,Bangalore,Information Technology,"Comofi Medtech develops healthcare products using artificial intelligence, augmented reality and IoT technologies","Satish Kalme, Kubasad Gururaj",CIIE.CO,200000.0,Unstated,2021,Tech
320,Kutuki,2017.0,Bangalore,Information Technology,Kutuki is a learning platform focused on children between the ages of three and seven.,"Bharath Bevinahally, Sneha Sundaram",Omidyar Network India,2000000.0,Seed,2021,Tech
322,Eupheus,2017.0,New Delhi,Information Technology,Eupheus Learning offers a seamless integrated learning solution for the K-12 market in India.,"Amit Kapoor, Rohit Dhar, Sarveshwar Shrivastava, Ved Prakash Khatri","Yuj Ventures, Sixth Sense Ventures",4000000.0,Series B,2021,Tech
323,KreditBee,2018.0,Bangalore,Information Technology,KreditBee is an Instant Personal Loan Platform for Young Professionals.,Madhusudan Ekambaram,"Premji Invest, Mirae Asset Naver Asia Growth Fund, Alpine Capital",75000000.0,Series C,2021,Tech
324,Pencil,2019.0,Mumbai,Communication Services,Pencil is a content publishing platform that enables writers to publish their work for free.,"Malini Nair, Preeti Chib, Swarup Nanda","Inflection Point Ventures, SucSEED Venture Partners",1000000.0,Pre series,2021,Non-tech
326,Marquee Equity,2016.0,Mumbai,Information Technology,The World's #1 Fundraising Service - Investor Meetings + Deal Documents - Globally,Ash Narain,"Capital One, Arrowroot Capital",3800000.0,Unstated,2021,Tech
327,UptimeAI,2016.0,Bangalore,Information Technology,"Enable true digital transformation with AI driven insights, to enable manufacturers stay ten steps ahead of process inefficiencies and equipment failures","Jagadish Gattu, Vamsi Yalamanchili",YourNest Venture Capital,1500000.0,Seed,2021,Tech
328,WizKlub,2018.0,Bangalore,Information Technology,Wizklub uses a unique method of developing and nurturing Higher Order Thinking Skills in children,Amit Bansal,Incubate Fund India,800000.0,Pre series,2021,Tech
329,Zolve,2020.0,Bangalore,Information Technology,Zolve Innovations operates as a neo-banking startup.,Raghunandan G,"Kunal Shah, Greg Kidd",15000000.0,Seed,2021,Tech
330,MediBuddy,2000.0,Bangalore,Information Technology,"MediBuddy is a digital healthcare platform for inpatient hospitalization, outpatient services, and corporate wellness benefits.",Satish Kannan,"InnoVen Capital, TEAMFund",3000000.0,Others,2021,Tech
331,Pariksha,2015.0,Pune,Information Technology,"Pariksha - The Sucess App, India's largest vernacular test preparation company for the mobile 1st internet users of India.","Deepak Choudhary, Karanvir Singh Shekhawat, Utkarsh Bagri, Vikram Shekhawat","Venture Catalysts, 9Unicorns Accelerator Fund",2000000.0,Pre series,2021,Tech
332,Express Stores,2019.0,Gurugram,Consumer Discretionary,Express Stores is a retail and omnichannel startup company,"Apoorv Jain, Kartik Gupta","Venture Highway, Rohit Bansal",1000000.0,Seed,2021,Tech
333,Avataar Ventures,2019.0,Bangalore,Information Technology,Avataar Venture Partners is a growth Capital Investment Firm.,Mohan Kumar,,100000000.0,Unstated,2021,Tech
335,Phable,2017.0,Bangalore,Information Technology,Mobile App for Patients and Doctors,"Mukesh Bansal, Prasanth Reddy, Sumit Sinha","Fresco Capital, Social Starts",12000000.0,Series A,2021,Tech
337,Supply6,2018.0,Bangalore,Health Care,Supply6 is a food supplement brand that claims to provide nutritional supplements in drinkable forms such as smoothies.,"Rahul Jacob, Vaibhav Bhandari","Rohit Goutamchand, India CXO Fund",100000.0,Seed,2021,Non-tech
338,Swajal,2015.0,Gurugram,Utilities,Swajal uses clean solar energy to purify drinking water at an affordable rate.,"Advait Kumar, Vibha Tripathi","Rajasthan Venture Capital Fund, ACPL Exports",1600000.0,Pre series,2021,Non-tech
339,BharatPe,2018.0,New Delhi,Information Technology,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"Ashneer Grover, Shashvat Nakrani","Amplo, Insight Partners",100000000.0,Later stage,2021,Tech
340,Filo,2020.0,New Delhi,Information Technology,Instant learning platform for students while self study.,"Imbesat Ahmad, Shadman Anwer",Better Capital,260000.0,Pre seed,2021,Tech
341,Method & Madness,2020.0,Mumbai,Real Estate,Method & Madness Technology operates as a real-estate tech company.,Aditya Jhaveri,Justin Mateen,2000000.0,Seed,2021,Non-tech
342,EduFund,2020.0,Gujarat,Information Technology,Changing the way Indians evaluate and plan higher education,"Arindam Sengupta, Eela Dubey",View Trade Holding Corp,300000.0,Pre seed,2021,Tech
343,Pepperfry,2011.0,Mumbai,Consumer Discretionary,Pepperfry is an online home and lifestyle shopping store selling products with cash on delivery facilities.,"Ambareesh Murty, Ashish Shah","InnoVen Capital, Bertelsmann India Investments",30000000.0,Others,2021,Tech
344,Zingavita,2020.0,Chandigarh,Information Technology,"Explore a range of kids nutrition supplements formulated using highest quality ingredients, that are Deliciously Healthy and super fun to consume.","Rohit Anand, Sachin Goel",Anicut Angel Fund,400000.0,Unstated,2021,Tech
346,VerSe Innovation,2007.0,Bangalore,Information Technology,Owner of Dailyhunt App and I-Pay,Virendra Gupta,"Canaan Valley Capital, Glade Brook Capital Partners",1000000000.0,Later stage,2021,Non-tech
347,Supersourcing,2020.0,Indore,Information Technology,Build your next app or website with our exclusive network of certified IT companies.,"Mayank Pratap Singh, Aditi Chaurasia","Vijay Shekhar Sharma, Dr Ritesh Malik",200000.0,Seed,2021,Tech
348,AutomataPi,2017.0,Powai,Information Technology,AutomataPi is a next generation cognitive business process automation engine.,"Devesh Rao, Manjeet Khopkar, Rahul Hattangdi",Indian Angel Network,400000.0,Seed,2021,Tech
349,Newton School,2019.0,Bangalore,Information Technology,Newton School is a platform to learn and develop skills that you need for your best Tech career.,"Nishant Chandra, Siddharth Maheshwari","RTP Global, Harshil Mathur",5000000.0,Series A,2021,Tech
350,TenderCuts,2011.0,Chennai,Customer Staples,"TenderCuts is an online meat shop that delivers antibiotic-free, hygienic, and farm fresh chicken, free range goat, and seafood.",Nishanth Chandran,"Paragon Partners, NABVENTURES",15000000.0,Unstated,2021,Non-tech
351,Siply,2020.0,Bangalore,Information Technology,Siply Services operates as a micro-savings platform.,"Sousthav Chakrabarty, Anil Bhat",Inflection Point Ventures,1000000.0,Seed,2021,Tech
352,SarvaGram,2019.0,Mumbai,Information Technology,SarvaGram provides livelihood upgradation for aspiring households based in rural and semi-urban India.,"Utpal Isser, Sameer Mishra",Elevation Capital,10000000.0,Series B,2021,Tech
353,Unlu,2020.0,Gurugram,Consumer Discretionary,Personalised Video Shoutout from top celebrities,"Akshay Pruthi, Anurag Dalia, Himanshu Periwal, Vipul Agrawal",EXPERT DOJO,1000000.0,Seed,2021,Non-tech
354,GlobalFair,2020.0,Gurugram,Information Technology,One-stop solution for all your procurement needs,"Ashish Chandra, Shaily Garg","Saama Capital, India Quotient",2000000.0,Seed,2021,Non-tech
355,Eduvanz,2016.0,Mumbai,Information Technology,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.","Atul Sashittal, Raheel Shah, Varun Chopra","InCred Financial Services, Vivriti Capital, Northern Arc Capital",10000000.0,Others,2021,Tech
356,OwO,2020.0,Gurugram,Consumer Discretionary,"Shop packaged drinking water, beverages from your favorite brands i.e. Kinley, Bisleri, Aquafina, Coca-cola, Pepsi etc",Hardev Sahu,ah! Ventures,200000.0,Unstated,2021,Tech
357,Progcap,2017.0,New Delhi,Information Technology,Progcap is a financial service company that provides financial opportunities for micro and small businesses in the last mile.,"Pallavi Shrivastava, Himanshu Chandra","Somak Ghosh, M V Nair",1000000.0,Others,2021,Tech
358,ABL Workspaces,2017.0,New Delhi,Health Care,ABL Workspaces is a co-working space where professionals from all walks of life come to work under one roof.,"Ankur Gupta, Akshita Gupta",Wurk,600000.0,Pre series,2021,Non-tech
359,Nazara Technologies,2000.0,Mumbai,Consumer Discretionary,"Nazara Technologies develops mobile content such as games, themes, wallpapers, and multimedia.",Nitish Mittersain,"Plutus Wealth Management, Turtle Entertainment",10000000.0,Unstated,2021,Non-tech
360,Scentials,2018.0,Mumbai,Health Care,Scentials is building a unique beauty brands studio platform,"Mahesh Bhupathi, Jinesh Mehta","Ambiga Subramanian, Goutham Ekollu",6000000.0,Unstated,2021,Non-tech
361,SplashLearn,2018.0,Gurugram,Information Technology,SplashLearn is an EdTech startup company providing game-based math and reading courses to students in pre-kindergarten to grade five.,"Arpit Jain, Joy Deep Nath, Mayank Jain, Umang Jain","Accel, Owl Ventures",18000000.0,Series C,2021,Tech
362,Maya,2016.0,Bangalore,Information Technology,Maya enables women to keep track of their health via a mobile application.,John Paul,Rajan Anadan,2200000.0,Seed,2021,Tech
363,GoTo,2020.0,Ghaziabad,Consumer Discretionary,Real Time Intercity City Transit Platform For 1.25 Bn People In India,"Akhilesh Sagar, Harsh Vardhan Sharma",Jesse Lucas,150000.0,Unstated,2021,Non-tech
364,MediBuddy,2000.0,Bangalore,Information Technology,MediBuddy is a Trusted Digital Platform for Cashless Healthcare. MediBuddy connects patients with doctors and hospitals.,"atish Kannan, Enbasekar","IDFC Private Equity, Bessemer Venture Partners",40000000.0,Series B,2021,Tech
365,Zetwerk,2018.0,Bangalore,Consumer Discretionary,Zetwerk is an online marketplace that connects buyers and suppliers for manufacturing jobs.,"Amrit Acharya, Rahul Sharma, Srinath Ramakkrushnan, Vishal Chaudhary","Sequoia Capital India, Accel",120000000.0,Later stage,2021,Tech
366,Remedico,2017.0,Hyderabad,Health Care,Remedico is a Mobile healthcare,Ranjit Bhatia,"Venture Catalysts, Tahseen Consulting",500000.0,Unstated,2021,Non-tech
368,SATYA MicroCapital,2017.0,New Delhi,Information Technology,Satya MicroCapital is a micro finance company based on a group lending model that allows borrowers to share liability.,Vivek Tiwari,"BlueOrchard Finance S A, Gojo & Company",20000000.0,Unstated,2021,Tech
369,YourPhysio,2020.0,Nagpur,Information Technology,YourPhysio is a healthcare company on a mission to deliver 10x better patient experience in the domain of physiotherapy.,"Dr Sheetal Mundhada, Ashutosh Mundhada","Better Capital, Titan Capital",350000.0,Pre seed,2021,Tech
370,Aviom Housing Finance,2016.0,New Delhi,Information Technology,AVIOM India is an Affordable Housing Finance company facilitating families in mostly semi urban areas in realising their dream of owning their first home.,Kajal Ilmi,Gojo & Company,1000000.0,Others,2021,Tech
371,Hemp Horizons,2017.0,Noida,Customer Staples,Cannabis and Hemp company,Rohit Shah,Mumbai Angels,200000.0,Seed,2021,Non-tech
372,MPL,2018.0,Bangalore,Consumer Discretionary,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",95000000.0,Unstated,2021,Non-tech
373,Koo,2020.0,Bangalore,Communication Services,Koo App operates as a microblogging app.,"Mayank Bidawatka, Aprameya Radhakrishna","3one4 Capital, Accel",4100000.0,Series A,2021,Non-tech
374,InnerHour,2016.0,Mumbai,Health Care,InnerHour is mental health and wellness platform that provides therapy and diagnostics services and conducts online mental health workshops.,Amit Malik,"Hitesh Oberoi, Lightbox",5200000.0,Series A,2021,Non-tech
375,Origo,2010.0,Gurugram,Information Technology,"Origo Commodities, a complete post-harvest management financial solution for agricultural commodities.","Sunoor Kaul, Mayank Dhanuka",YES Bank,10000000.0,Others,2021,Tech
377,Elucidata,2015.0,New Delhi,Information Technology,Elucidata Corporation uses data analytics to transform decision-making processes in R&D labs in biotechnology and pharmaceutical companies.,"Abhishek Jha, Richard Kibbey, Swetabh Pathak",Hyperplane Venture Capital,5000000.0,Pre series,2021,Non-tech
378,Saveo,2019.0,Bangalore,Information Technology,Saveo operates a business-to-business e-commerce platform focused on pharmacies.,"Amit Kumar, Anurag Savarnya, Shivansh Shrivastava, Vivek Jaiswal","Matrix Partners India, RTP Global",4000000.0,Seed,2021,Tech
380,DotPe,2019.0,Gurugram,Information Technology,"DotPe is an innovative offline technology platform digitising merchant's customer engagement with mobile discovery, ordering and payments.","Anurag Gupta, Gyanesh Sharma, Shailaz Nag","Info Edge, Ruizheng Investment",8000000.0,Seed,2021,Tech
381,Taskmo,2018.0,Bangalore,Consumer Discretionary,Gig Economy Platform | Task Fulfillment Platform | New-age fulfillment solutions,"Prashant Janadari, Naveen Ramchandra",Quess Corp India,1400000.0,Unstated,2021,Non-tech
382,MasterMentors,2019.0,West Bengal,Information Technology,India's first online platform for mentors enabling them to translate their expertise into a profitable online course,"Suraj Juneja, Vijay Rachh, and Aaquib Hussain",,1500000.0,Unstated,2021,Tech
385,Ruptok,2020.0,New Delhi,Information Technology,Ruptok operates as a fintech platform for gold loans,"Ankur Gupta, Akshita Gupta, Yashwardhan Aeren",Wurk,10000000.0,Unstated,2021,Tech
387,SeeVC,2020.0,New Delhi,Information Technology,Leverages artificial intelligence (AI) to build products for the education sector,"Shivam Sood, Lark Aakarshan",Jimmy Singh,1000000.0,Seed,2021,Tech
388,Junio,2020.0,New Delhi,Information Technology,Junio is a kids-focused digital pocket money-smart card.,Shankar Nath,"Kunal Shah, Deepak Abbot",1000000.0,Unstated,2021,Tech
389,VenWiz,2020.0,Bangalore,Consumer Discretionary,Digitising the interactions between core industry and vendors for engineering services,"Rajesh Reddy, Sandesh Paturi","Accel, Nexus Venture",300000.0,Seed,2021,Non-tech
390,Vista Rooms,2015.0,Mumbai,Health Care,"Vista Rooms is a South Asia's largest luxury holiday home rental management company. We are on a mission to build the ""Marriott for Homes""","Amit Damani, Ankita Sheth, Pranav Maheshwari","Singapore Angel Network, Artha India Ventures",1000000.0,Unstated,2021,Non-tech
391,Makers Hive,2018.0,Hyderabad,Information Technology,"Makers Hive has made it possible to bring the people with amputations together by developing a fully functional, customizable",Pranav Vempati,"Starfish Growth Partners, Investpad",9000000.0,Unstated,2021,Tech
392,Headfone,2017.0,Bangalore,Information Technology,Headfone helps create and share the audio content with listeners.,"Pratham Khandelwal, Yogesh Sharma",Hashed,3000000.0,Seed,2021,Non-tech
394,MPL,2018.0,Bangalore,Consumer Discretionary,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",5000000.0,Unstated,2021,Non-tech
395,GrowFix,2020.0,Bangalore,Information Technology,Building high-yield Debt assets for retail investors,"Ajinkya Kulkarni, Abhik Patel","Zerodha's Rainmatter Capital, Better Capital",2000000.0,Seed,2021,Tech
396,Bombay Shaving Company,2016.0,New Delhi,Information Technology,"Bombay Shaving Company is a consumer goods company that focuses on developing a range of shave care, beard care, and skincare products.","Deepu Panicker, Raunak Munot, Rohit Jaiswal, Shantanu Deshpande","Sixth Sense Ventures, Colgate Palmolive",6000000.0,Unstated,2021,Non-tech
397,Dunzo,2015.0,Bangalore,Customer Staples,Dunzo is a hyper-local delivery app that connects users to the nearest delivery partner.,"Ankur Aggarwal, Dalvir Suri, Kabeer Biswas, Mukund Jha","Lightbox, Evolvence India Fund",40000000.0,Later stage,2021,Non-tech
398,BeyondSkool,2020.0,Mumbai,Information Technology,BeyondSkool is a live upskilling platform for kids,Payal Gaba,Tomorrow Capital,2000000.0,Seed,2021,Tech
399,Mindler,2015.0,New Delhi,Information Technology,Mindler is a career counseling company that provides career development guidance counseling services for students.,Prateek Bhargava,"Inflection Point Ventures, DLabs",1000000.0,Pre series,2021,Tech
400,Fashinza,2020.0,Gurgaon,Consumer Discretionary,Fashinza is a B2B manufacturing marketplace that solves apparel/fashion supply chain challenges.,"Abhishek Sharma, Pawan Gupta","Accel Partners, Elevation Capital",2600000.0,Seed,2021,Non-tech
401,BharatPe,2018.0,New Delhi,Information Technology,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"Ashneer Grover, Shashvat Nakrani","InnoVen Capital, Steadview Capital",6000000.0,Others,2021,Tech
402,Turnip,2020.0,Bangalore,Consumer Discretionary,Turnip is a live game streaming and community platform.,"Aditya Sharma, Pooja Dubey",Elevation Capital,1600000.0,Seed,2021,Non-tech
403,Furlenco,2012.0,Bangalore,Consumer Discretionary,Furlenco is a subscription-based furniture rental platform that allows users to rent furniture on a monthly basis.,Ajith Karimpana,BlackSoil Capital,2000000.0,Unstated,2021,Non-tech
404,Inficold,2015.0,New Delhi,Energy,Provide uninterrupted and affordable cooling for refrigeration,"Himanshu Pokharna, Nitin Goel",Shell Foundation,900000.0,Pre series,2021,Non-tech
405,KIWI,2020.0,New Delhi,Information Technology,"A peer to peer support network, which would enable billions of users across the world","Imran Ladiwala, Mishu Ahluwalia","PointOne Capital, Core91 VC",250000.0,Seed,2021,Non-tech
407,BharatPe,2018.0,New Delhi,Information Technology,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"Ashneer Grover, Shashvat Nakrani","InnoVen Capital, Steadview Capital",10000000.0,Others,2021,Tech
408,MFine,2017.0,Bangalore,Health Care,Mfine is an health-tech startup that offers an AI-powered online doctor consultation app.,"Ajit Narayanan, Ashutosh Lawania, Prasad Kompalli","Blockchain Capital, SBI Ven Capital",16000000.0,Unstated,2021,Tech
409,Udayy,2019.0,Gurgaon,Information Technology,Interactive learning platform for kids,"Saumya Yadav, Mahak Garg, Karan Varshney",Alpha Wave Incubation,2500000.0,Seed,2021,Tech
410,Lohum,2017.0,Noida,Energy,Lohum manufactures lithium-ion battery packs and recovers critical battery materials from used lithium-ion batteries through recycling.,Rajat Verma,"Baring Private Equity Partners India, Talbros",7000000.0,Unstated,2021,Tech
411,Darwinbox,2015.0,Hyderabad,Information Technology,Darwinbox is an end-to-end enterprise HR software that enables enterprises to automate entire employee lifecycle in one HR platform.,"Chaitanya Peddi, Jayant Paleti, Rohit Chennamaneni","Sequoia Capital India, 3one4 Capital",15000000.0,Unstated,2021,Non-tech
412,DeHaat,2012.0,Patna,Information Technology,DeHaat connects farmers to suppliers and buyers on a single platform.,"Shashank Kumar, Manish Kumar","Prosus Ventures, RTP Global",30000000.0,Series C,2021,Tech
413,Samunnati,2014.0,Chennai,Information Technology,Samunnati is a specialized agriculture value chain enabler providing innovative and customized financial and non-financial solutions.,Anil Kumar,"U.S. International Development Finance Corp, responsAbility",10000000.0,Others,2021,Tech
414,Biconomy,2019.0,New Delhi,Financials,Biconomy is a technology company building transaction infrastructure for next-generation Web 3 applications.,"Ahmed Al-Balaghi, Aniket Jindal, Sachin Tomar","Binance Labs, Zee Prime Capital",1500000.0,Seed,2021,Tech
415,True Elements,2011.0,Pune,Information Technology,"Committed to improving the quality of life, True Elements provides food that is packed with the goodness of nature!","Puru Gupta, Sreejith Moolayil",RP-Sanjiv Goenka Group,1000000.0,Unstated,2021,Non-tech
417,Nao Spirits & Beverages Pvt Ltd,2016.0,New Delhi,Customer Staples,India's first Craft Gin company,Anand Virmani,,2000000.0,Series A,2021,Non-tech
418,PurpleTutor,2019.0,Mumbai,Information Technology,PurpleTutor is the only coding platform that mandates every teacher to have a formal Computer Science degree,"Gaurav Perti, Yatish Gupta",IvyCap Ventures,300000.0,Seed,2021,Tech
419,Karkhana.io,2018.0,Mumbai,Industrials,Karkhana.io is an on-demand manufacturing platform with a vision of digitalizing manufacturing.,Sonam Motwani,Zone Startups In,1500000.0,Seed,2021,Non-tech
420,SSA Finserv,2019.0,Mumbai,Information Technology,Small businesses-focused non-banking lender,Vikas Agarwal,Blue Ashva Capital,3000000.0,Unstated,2021,Tech
421,CoinSwitch Kuber,2017.0,Bangalore,Financials,Coinswitch.co is a cryptocurrency exchange aggregator platform.,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Ribbit Capital, Kunal Shah",15000000.0,Series A,2021,Non-tech
422,Paperfly,2016.0,Bangalore,Consumer Discretionary,Paperfly is an e-commerce fulfillment and nationwide delivery solution in Bangladesh,"Shahriar Hasan, Md Razibul Islam, Rahath Ahmed, Shamsuddin Ahmed",Ecom Express,11000000.0,Unstated,2021,Tech
423,Infra.Market,2016.0,Thane,Consumer Discretionary,Infra.Market is an online procurement marketplace for every category of materials and products needed for building projects.,"Souvik Sengupta, Aaditya Sharda",InnoVen Capital,6000000.0,Others,2021,Tech
424,ReadyAssist,2018.0,Bangalore,Industrials,"ReadyAssist is one of the India's leading 24/7 roadside assistance, breakdown support, towing and repairs provider for both Bikes & Cars.",Vimal Singh SV,Satish Grampurohit,1000000.0,Seed,2021,Non-tech
425,Chalo,2014.0,Mumbai,Information Technology,Chalo is a free app that tracks buses live and tells you what time your bus will reach your stop.,"Mohit Dubey, Nikhil Aggarwal","Amit Singhal, Raine Ventures",7000000.0,Unstated,2021,Tech
426,Udaan,2016.0,Bangalore,Consumer Discretionary,"Udaan is a B2B trade platform that brings manufacturers, traders, retailers, and wholesalers into a single platform","Amod Malviya, Sujeet Kumar, Vaibhav Gupta","Octahedron Capital, Moonstone Capital",280000000.0,Unstated,2021,Tech
427,Unacademy,2015.0,Bangalore,Information Technology,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,"Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta","Tiger Global, Dragoneer Investment Group, Steadview Capital, General Atlantic",50000000.0,Unstated,2021,Tech
428,Ergos,2012.0,Samsitpur,Information Technology,Ergos is building an integrated supply chain platform that enables farmers to convert their grains to digital assets.,"Kishor Kumar Jha, Praveen Kumar","CDC Group, Aavishkaar Venture Capital",3000000.0,Series A,2021,Tech
431,Knocksense,2016.0,Lucknow,Communication Services,Knocksense which owns and operates an eponymous digital content platform.,"Varul Mayank, Vibhore Mayank, Vibhore Mayank","Mumbai Angels, Amitesh Pandey",200000.0,Unstated,2021,Non-tech
432,Pariksha,2015.0,Pune,Information Technology,"Pariksha - The Sucess App, India's largest vernacular test preparation company for the mobile 1st internet users of India","Deepak Choudhary, Karanvir Singh Shekhawat, Utkarsh Bagri, Vikram Shekhawat","Venture Catalysts, 9Unicorns Accelerator Fund",1800000.0,Unstated,2021,Tech
433,Toothsi,2018.0,Mumbai,Health Care,ToothSi is a new age startup in the dental space providing smile correction services at home.,"Dr Arpi Mehta, Dr Pravin Shetty, Dr Manjul Jain, Dr Anirudh Kale",Think Investments,5000000.0,Series A,2021,Non-tech
434,Jumbotail,2015.0,Bangalore,Information Technology,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.","Ashish Jhina, Karthik Venkateswaran","Nexus Venture Partners, 23 High Networth Individuals (HNIs)",14300000.0,Others,2021,Non-tech
435,Phi Commerce,2015.0,Pune,Information Technology,"Payments Facilitator, Payments solution provider etc.","Anil Sharma, Jose Thattil, Rajesh Londhe, Tushar Shankar","Yatra Angel Network, BEENEXT",4000000.0,Series A,2021,Tech
436,Zupee,2018.0,Gurgaon,Consumer Discretionary,Zupee is a skill-based gaming app that enables its users to play against each-other live,"Dilsher Singh Malhi, Siddhant Saurabh","Orios Venture Partners, Matrix Partners India",10000000.0,Unstated,2021,Non-tech
438,Finsall,2019.0,Bangalore,Information Technology,Finsall provides Insurance Premium Financing,"Prabal Khanna, Tim Mathews",Unicorn India Ventures,300000.0,Seed,2021,Tech
439,Legalwiz.in,2015.0,Ahmedabad,Information Technology,"LegalWiz.in is committed to provide high quality professional services for small businesses, start-up entrepreneurs and individuals.","Shrijay Sheth, Gaurav Barot",ContCentric,500000.0,Unstated,2021,Non-tech
440,Practically,2018.0,Telangana,Information Technology,"Making Learning personal, immersive and experiental",Subbarao Siddabattula,Siana Capital,4000000.0,Pre series,2021,Tech
441,Cred,2018.0,Bangalore,Information Technology,CRED is a Bengaluru-based fintech startup that offers rewards for customers who use its platform to pay their credit card bills.,Kunal Shah,"DST Global, General Catalyst",81000000.0,Series C,2021,Tech
442,Devic Earth,2018.0,Bangalore,Industrials,"State-of-the-art air pollution control equipment to improve air quality across buildings, industries, and cities.",Dr Srikanth Sola,Blue Ashva Capital,1000000.0,Unstated,2021,Non-tech
443,Zerone,2018.0,Gurgaon,Information Technology,"Convert smartphones into a POS machine using our ZUP proximity payment technology, with no additional hardware and no need for NFC.",Jaijit Bhattacharya,Anthill Ventures,1300000.0,Pre series,2021,Tech
444,boAt,2016.0,Mumbai,Consumer Discretionary,boAt is a lifestyle brand that deals in fashionable consumer electronics.,"Aman Gupta, Sameer Mehta","InnoVen Capital, InnoVen Capita",100000000.0,Equity,2021,Non-tech
445,Pocket Aces,2013.0,Mumbai,Communication Services,Pocket Aces is a digital entertainment company focused on mobile video.,"Anirudh Pandita, Aditi Shrivastava, Ashwin Suresh","3one4 Capital, DSP Group",2000000.0,Unstated,2021,Non-tech
446,Kyt,2020.0,Bangalore,Information Technology,"An online-first, global academy for extracurricular learning | Private & small group online classes for kids","Bhavik Rathod, Tripti Ahuja",Alpha Wave Incubation,5000000.0,Series A,2021,Tech
447,iMumz,2019.0,Bangalore,Health Care,"iMumz empowers pregnant mothers to deliver healthy, happy, and intelligent babies through a positive lifestyle.","Dr Jaideep Malhotra, Rajesh Jagasia, Ravi Teja Akondi, Mayur Dhurpate","Enzia Ventures, AngelList",300000.0,Unstated,2021,Non-tech
448,BharatPe,2018.0,New Delhi,Information Technology,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"Ashneer Grover, Shashvat Nakrani","Steadview Capital, Insight Partners",8200000.0,Others,2021,Tech
449,CropIn,2010.0,Bangalore,Information Technology,CropIn is a leading AI and Data-led agri-tech organization that provides SaaS solutions to agribusinesses globally using deep learning.,Krishna Kumar,"Invested Development, Pratithi Investment Trust",20000000.0,Series C,2021,Tech
450,Vanity Wagon,2018.0,Haryana,Customer Staples,"Vanity Wagon is India’s #1 Natural Organic Beauty Marketplace. Buy Ayurvedic Natural Beauty Products in India for skin, hair & body care.",Prateek Ruhail,"Dhianu Das, Agility Venture Partners",200000.0,Seed,2021,Non-tech
451,Oyo,2012.0,Gurgaon,Health Care,OYO operates a branded network of hotels designed to offer standardized stay experiences.,Ritesh Agarwal,Hindustan Media Venture,7000000.0,Later stage,2021,Non-tech
453,BlackSoil,2016.0,Mumbai,Information Technology,Blacksoil Advisory is an independent boutique advisory firm.,Ankur Bansal,Awign Enterprises,4000000.0,Unstated,2021,Tech
454,HobSpace,2019.0,Mumbai,Information Technology,HobSpace is a platform for extra-curricular activities online and offline for kids between 3-14 years.,"Priya Goel Sheth, Harsh Jain","Siddharth Bhaskar Shah, Upsparks",100000.0,Pre series,2021,Tech
455,DcodeAI,2020.0,New Delhi,Information Technology,EMPOWER LEARNERS TO BE FUTURE READY USING AI,"Kartik Sharma, Ashish Aggarwal",S Chand,500000.0,Unstated,2021,Tech
456,Biocon Biologics,1978.0,Bangalore,Information Technology,"Biocon is a fully integrated pure play biosimilars organization, globally engaged in developing high quality affordable biosimilars.",Kiran Mazumdar-Shaw,"Goldman Sachs, Tata Capital",70000000.0,Unstated,2021,Non-tech
457,KiranaKart,2020.0,Mumbai,Consumer Discretionary,A better model for instant grocery delivery in India.,"Kaivalya Vohra, Aadit Palicha",Global Founders Capital,720000.0,Pre seed,2021,Tech
458,Meddo,2018.0,Gurgaon,Health Care,Meddo is an end-to-end medical services provider,Saurabh Kochhar,"growX ventures, Venture Gurukool",3000000.0,Pre series,2021,Non-tech
459,SP Robotic Works,2012.0,Chennai,Information Technology,An innovative place to explore next-generation technologies for students and all tech enthusiasts.,"Sneha Priya, Pranavan S",Mount Judi India Growth Fund,3000000.0,Series A,2021,Tech
460,3SC,2018.0,Gurugram,Industrials,An end-to-end supply chain analytics company that provides execution and analytics solutions which are comprehensive and customized.,"Lalit, Sarita Das",GEF Capital’s South Asia Fund,15000000.0,Series B,2021,Non-tech
461,Chai Waale,2018.0,Chennai,Customer Staples,"A wide range of exotic flavoured chai, in the most hygienic ambience at pocket-friendly prices.",Vidur Maheswari,"Sunil Sethia, Sunil Kumar Singhvi, Manish Mardia",600000.0,Unstated,2021,Non-tech
