,Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage,Funding_Year,Tech_Status
37,EF Polymer,2018.0,Rajsamand,Information Technology,Sustainable Agriculture by creating sustainable inputs solution for agriculture to save water and fertilizer with enhancing yield.,Narayan Lal Gurjar,MTG Ventures,200000.0,Unstated,2021,Tech
38,boAt,2016.0,New Delhi,Industrials,boAt is a consumer electronics and lifestyle company.,"Aman Gupta, Sameer Mehta","Qualcomm Ventures, Warburg Pincus",6000000.0,Unstated,2021,Non-tech
40,iBus,2010.0,Bangalore,Communication Services,iBus Networks is an in-building connectivity solutions company,"Ram Sellaratnam, Sunil Menon and Subash Vasudevan",Morgan Stanley,21000000.0,Unstated,2021,Tech
41,Puresh Daily,2019.0,Ranchi,Customer Staples,PUREandFRES-Milk delivers fresh milk directly from its farm to home. Fresh Milk without any trace of chemicals is packed and sealed in glass bottle.,"Manish Piyush, Ayush Kumar","Alfa Ventures, Agility Venture Partners",100000.0,Seed,2021,Non-tech
42,LearnVern,2016.0,Ahmadabad,Information Technology,LearnVern.com is a training portal where anyone can learn any course in vernacular languages for free.,"Niral Modi, Aditi Modi",,1000000.0,Unstated,2021,Tech
43,LimeChat,2020.0,Faridabad,Information Technology,Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,"Aniket Bajpai, Nikhil Gupta","Stellaris Venture Partners, Ramakant Sharma",7500000.0,Seed,2021,Non-tech
44,Dybo,2019.0,Bangalore,Information Technology,Product Visualisation Technology for Commerce,Dhawal Jain,Spanache,100000.0,Seed,2021,Tech
45,moEVing,2021.0,Gurugram,Industrials,"Delivering clean, cost-effective and efficient mobility solutions.",VIKASH MISHRA,,1000000.0,Seed,2021,Non-tech
46,WeWork India,2017.0,Bangalore,Health Care,"Transform buildings into beautiful, collaborative workspaces and provide infrastructure, services, events and tech",Karan Virwani,,26000000.0,Unstated,2021,Non-tech
47,Solethreads,2018.0,Gurugram,Consumer Discretionary,SOLETHREADS is a ‘Made in India’ footwear brand that’s creating a flip flop revolution.,Vikram Iyer,"DSG Consumer Partners, Saama Capital",1000000.0,Series A,2021,Non-tech
48,Beldara,2018.0,Mumbai,Consumer Discretionary,"BELDARA.COM IS A GLOBAL B2B marketplace, enables businesses to sell worldwide.",Bhagwan (Pradeep) Khandekar,Hindustan Media Ventures,7400000.0,Unstated,2021,Tech
49,CredFlow,2020.0,New Delhi,Information Technology,CredFlow provides financial solutions to automate your cashflows.,Kunal Aggarwal,"Stellaris Venture Partners, Omidyar Network India, Flourish Ventures",2000000.0,Seed,2021,Tech
50,Do Your Thng,2018.0,Gurugram,Financials,World's first shared economy platform for digital assets.,Ankit Agarwal,"Angelbay Holdings, Faad Network",1500000.0,Unstated,2021,Non-tech
51,Oye Rickshaw,2017.0,Gurugram,Consumer Discretionary,Oye Rickshaw is an electric vehicle energy solutions company that connects people with public transportation using a booking app.,"Akash Deep, Mohit Sharma","Alteria Capital, Chiratae Ventures",3000000.0,Unstated,2021,Non-tech
52,Legitquest,2017.0,New Delhi,Information Technology,LegitQuest is a legal-tech company that operates a legal research platform with Indian case laws.,"Himanshu Puri, Karan Kalia, Rohit Shukla","WaterBridge Ventures, Info Edge",600000.0,Unstated,2021,Non-tech
53,Swiggy,2014.0,Bangalore,Customer Staples,Swiggy is an on-demand food delivery platform that brings food from neighborhood restaurants directly to customers' doors.,"Nandan Reddy, Rahul Jaimini, Sriharsha Majety","Carmignac, Falcon Edge Capital",800000000.0,Unstated,2021,Non-tech
55,PlayShifu,2016.0,Bangalore,Information Technology,PlayShifu is an EdTech startup that offers teaching/learning tools for kids (4-12 years of age).,"Dinesh Advani, Vivek Goyal","Chiratae Ventures, Bharat Innovation Fund",17000000.0,Series B,2021,Tech
56,Pitstop,2015.0,Bangalore,Information Technology,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,"Mihir Mohan Mishra, Nirant Ramakuru, Ruchi Deepak","Acko Technology, Services, LetsVenture",3500000.0,Pre series,2021,Non-tech
57,Lendingkart,1999.0,Gujarat,Information Technology,Lendingkart is an online financing company dedicated to help entrepreneurs and small businesses with Working Capital Loans.,"Harshvardhan Lunia, Mukul Sachan","Bertelsmann India Investments, Fullerton Financial Holdings",15000000.0,Others,2021,Tech
58,CRED,2018.0,Bangalore,Information Technology,CRED is a members-only credit card management and bill payments platform that rewards users every time they pay their credit card bills.,Kunal Shah,"Dragoneer Investment Group, Tiger Global Management",215000000.0,Later stage,2021,Tech
59,Karnival,2015.0,Bangalore,Information Technology,A SAAS platform for retailers and brands to create wonderful post purchase customer journeys using smart receipts technology,Neeraj Tyagi,http://100x.vc/,2500000.0,Seed,2021,Tech
60,PharmEasy,2015.0,Mumbai,Information Technology,"PharmEasy is a health tech startup offering services such as teleconsultation, medicine deliveries, and diagnostic test sample collection.","Dharmil Sheth, Dhaval Shah, Mikhil Innani","TPG Growth, Caisse de Depot et Placement du Quebec",350000000.0,Later stage,2021,Tech
61,WESS,1989.0,Mumbai,Industrials,Waaree is India's Largest Solar Module Manufacturer & fastest growing EPC company with Presence across 68 countries.,Hitesh Doshi,Centrum Financial Services,2000000.0,Seed,2021,Non-tech
62,ShopSe,2020.0,Mumbai,Information Technology,Make purchases online or at neighborhood store in easy EMIs through ShopSe.,"Pallav Jain, Abhishek Nimonkar, Yagnesh Desai","Chiratae Ventures, BEENEXT",5500000.0,Unstated,2021,Tech
63,Fantasy Akhada,2020.0,Gurugram,Consumer Discretionary,Fantasy Akhada offers fantasy sports platform for cricket and football.,Amit Purohit,Harsha Bhogle,600000.0,Unstated,2021,Non-tech
65,Groww,2017.0,Bangalore,Information Technology,Groww is an investment platform that offers a new way of investing money with stockbroking and direct mutual funds.,"Harsh Jain, Ishan Bansal, Lalit Keshre, Neeraj Singh","Tiger Global Management, Y Combinator Continuity Fund",83000000.0,Later stage,2021,Tech
66,Avanti Finance,2016.0,Bangalore,Information Technology,Avanti Finance lends relatively large but trust-based loans without formal credit footprint.,"Ratan Tata, Nandan Nilekani",Michael & Susan Dell Foundation,26000000.0,Series A,2021,Tech
68,OfBusiness,2015.0,Gurugram,Information Technology,OfBusiness is a financing platform that offers smart financing to SMEs.,"Asish Mohapatra, Bhuvan Gupta, Chandranshu Sinha, Nitin Jain, Ruchi Kalra, Ruchi Kalra, Srinath Ramakkrushnan, Vasant Sridhar","Falcon Edge India, Norwest Venture Partners",110000000.0,Unstated,2021,Tech
69,Superpro.ai,2019.0,Bangalore,Communication Services,Enabling independent professionals to bring offline consulting online with AI,"Gaurav Tripathi, Sagar Ramteke, Vijay Goel, Vivek Kumar","SOSV, Omphalos Ventures India",3000000.0,Seed,2021,Non-tech
70,ShareChat,2015.0,Bangalore,Communication Services,ShareChat is a social networking and regional content platform.,"Ankush Sachdeva, Bhanu Pratap Singh, Farid Ahsan","Twitter Ventures, Pawan Munjal",500000000.0,Unstated,2021,Non-tech
71,WiT-ACE,2020.0,Gurugram,Information Technology,"Offer accelerated career experiences for women by Enabling, Engaging & Employing them to be in decision making roles.",Anuranjita Kumar,CitiusTech,1000000.0,Seed,2021,Non-tech
72,Spinny,2015.0,Gurugram,Consumer Discretionary,Spinny is a used car buying platform enabling trustworthy and hassle-free transactions.,"Mohit Gupta, Niraj Singh, Ramanshu Mahaur","Arena Holdings, Think Investments",65000000.0,Series C,2021,Non-tech
73,Alteria Capital,2018.0,Mumbai,Information Technology,Alteria Capital is a Venture debt firm .,Vinod Murali,,150000000000.0,Others,2021,Tech
74,Safexpay,2017.0,Thane,Information Technology,SafexPay is set up with the aim to build digital payments businesses and channel platforms encompassing payment gateways,Ravi Gupta,"T Choithrams BVI, Ardor",6000000.0,Unstated,2021,Tech
75,PumPumPum,2018.0,Gurugram,Real Estate,Pumpumpum is a car rental company.,"Tarun Lawadia, Sameer Kalra","Kogta Financial India Limited, ICICI Bank",700000.0,Pre series,2021,Non-tech
76,Speciale Invest,2017.0,Bangalore,Information Technology,Speciale Invest is an early stage investor focusing on Tech-driven/Deep-tech ventures.,"Vishesh Rajaram, Arjun Rao",,10000000.0,Unstated,2021,Tech
